Time,"Conductivity, mS","Temperature, C"
0,0,0
0,0,0
14:26:49,0.735,25.9
0,0,0
0,0,0
14:26:51,0.735,25.9
0,0,0
0,0,0
14:26:53,0.736,25.9
0,0,0
0,0,0
14:26:55,0.736,25.9
0,0,0
0,0,0
14:26:57,0.737,25.9
0,0,0
0,0,0
14:26:59,0.737,25.9
0,0,0
0,0,0
14:27:01,0.737,25.9
0,0,0
0,0,0
14:27:03,0.737,25.9
0,0,0
0,0,0
14:27:05,0.738,25.9
0,0,0
0,0,0
14:27:07,0.738,25.9
0,0,0
0,0,0
14:27:09,0.738,25.9
0,0,0
0,0,0
14:27:11,0.739,25.9
0,0,0
0,0,0
14:27:13,0.739,25.9
0,0,0
0,0,0
14:27:15,0.739,25.9
0,0,0
0,0,0
14:27:17,0.74,25.9
0,0,0
0,0,0
14:27:19,0.74,25.9
0,0,0
0,0,0
14:27:21,0.74,25.9
0,0,0
0,0,0
14:27:23,0.741,25.9
0,0,0
0,0,0
14:27:25,0.741,25.9
0,0,0
0,0,0
14:27:27,0.742,25.9
0,0,0
0,0,0
14:27:29,0.742,25.9
0,0,0
0,0,0
14:27:31,0.742,25.9
0,0,0
0,0,0
14:27:33,0.743,25.9
0,0,0
0,0,0
14:27:35,0.743,25.9
0,0,0
0,0,0
14:27:37,0.744,25.9
0,0,0
0,0,0
14:27:39,0.744,25.9
0,0,0
0,0,0
14:27:41,0.744,25.9
0,0,0
0,0,0
14:27:43,0.744,25.9
0,0,0
0,0,0
14:27:45,0.744,25.9
0,0,0
0,0,0
14:27:47,0.745,25.9
0,0,0
0,0,0
14:27:49,0.745,25.9
0,0,0
0,0,0
14:27:51,0.746,25.9
0,0,0
0,0,0
14:27:53,0.746,25.9
0,0,0
0,0,0
14:27:55,0.746,25.9
0,0,0
0,0,0
14:27:57,0.747,25.9
0,0,0
0,0,0
14:27:59,0.747,25.9
0,0,0
0,0,0
14:28:01,0.747,25.9
0,0,0
0,0,0
14:28:03,0.748,25.9
0,0,0
0,0,0
14:28:05,0.748,25.9
0,0,0
0,0,0
14:28:07,0.748,25.9
0,0,0
0,0,0
14:28:09,0.749,25.9
0,0,0
0,0,0
