Time,Conductivity (mS),Temperature (C)
11:13:36,2.5,20.6
0,0,0
0,0,0
11:13:38,2.5,20.6
0,0,0
0,0,0
11:13:40,2.5,20.6
0,0,0
0,0,0
11:13:42,2.5,20.6
0,0,0
0,0,0
11:13:44,2.5,20.6
0,0,0
0,0,0
11:13:46,2.5,20.6
0,0,0
0,0,0
11:13:48,2.5,20.6
0,0,0
0,0,0
11:13:50,2.5,20.6
0,0,0
0,0,0
11:13:52,2.5,20.6
0,0,0
0,0,0
11:13:54,2.5,20.6
0,0,0
0,0,0
11:13:56,2.5,20.6
0,0,0
0,0,0
11:13:58,2.5,20.6
0,0,0
0,0,0
11:14:00,2.5,20.6
0,0,0
0,0,0
11:14:02,2.5,20.6
0,0,0
0,0,0
11:14:04,2.5,20.6
0,0,0
0,0,0
11:14:06,2.5,20.6
0,0,0
0,0,0
11:14:08,2.5,20.6
0,0,0
0,0,0
11:14:10,2.5,20.6
0,0,0
0,0,0
11:14:12,2.5,20.6
0,0,0
0,0,0
11:14:14,2.5,20.6
0,0,0
0,0,0
11:14:16,2.5,20.6
0,0,0
0,0,0
11:14:18,2.5,20.6
0,0,0
0,0,0
11:14:20,2.5,20.7
0,0,0
0,0,0
11:14:22,2.5,20.7
0,0,0
0,0,0
11:14:24,2.5,20.6
0,0,0
0,0,0
11:14:26,2.5,20.6
0,0,0
0,0,0
11:14:28,2.5,20.6
0,0,0
0,0,0
11:14:30,2.5,20.6
0,0,0
0,0,0
11:14:32,2.5,20.6
0,0,0
0,0,0
11:14:34,2.5,20.6
0,0,0
0,0,0
11:14:36,2.5,20.6
0,0,0
0,0,0
11:14:38,2.5,20.6
0,0,0
0,0,0
11:14:40,2.5,20.6
0,0,0
0,0,0
11:14:42,2.5,20.6
0,0,0
0,0,0
11:14:44,2.5,20.6
0,0,0
0,0,0
11:14:46,2.5,20.6
0,0,0
0,0,0
11:14:48,2.5,20.6
0,0,0
0,0,0
11:14:50,2.5,20.6
0,0,0
0,0,0
11:14:52,2.5,20.6
0,0,0
0,0,0
11:14:54,2.5,20.6
0,0,0
0,0,0
11:14:56,2.5,20.6
0,0,0
0,0,0
11:14:58,2.5,20.6
0,0,0
0,0,0
11:15:00,2.5,20.6
0,0,0
0,0,0
11:15:02,2.5,20.6
0,0,0
0,0,0
11:15:04,2.5,20.6
0,0,0
0,0,0
11:15:06,2.5,20.6
0,0,0
0,0,0
11:15:08,2.5,20.6
0,0,0
0,0,0
11:15:10,2.5,20.6
0,0,0
0,0,0
11:15:12,2.5,20.6
0,0,0
0,0,0
11:15:14,2.5,20.6
0,0,0
0,0,0
11:15:16,2.5,20.6
0,0,0
0,0,0
11:15:18,2.5,20.6
0,0,0
0,0,0
11:15:20,2.5,20.6
0,0,0
0,0,0
11:15:22,2.5,20.6
0,0,0
0,0,0
11:15:24,2.5,20.7
0,0,0
0,0,0
11:15:26,2.5,20.6
0,0,0
0,0,0
11:15:28,2.5,20.6
0,0,0
0,0,0
11:15:30,2.5,20.6
0,0,0
0,0,0
11:15:32,2.5,20.6
0,0,0
0,0,0
11:15:34,2.5,20.6
0,0,0
0,0,0
11:15:36,2.5,20.6
0,0,0
0,0,0
11:15:38,2.5,20.6
0,0,0
0,0,0
11:15:40,2.5,20.6
0,0,0
0,0,0
11:15:42,2.5,20.6
0,0,0
0,0,0
11:15:44,2.5,20.6
0,0,0
0,0,0
11:15:46,2.5,20.6
0,0,0
0,0,0
11:15:48,2.5,20.6
0,0,0
0,0,0
11:15:50,2.5,20.6
0,0,0
0,0,0
11:15:52,2.5,20.6
0,0,0
0,0,0
11:15:54,2.5,20.6
0,0,0
0,0,0
11:15:56,2.5,20.6
0,0,0
0,0,0
11:15:58,2.5,20.6
0,0,0
0,0,0
11:16:00,2.5,20.6
0,0,0
0,0,0
11:16:02,2.5,20.6
0,0,0
0,0,0
11:16:04,2.5,20.6
0,0,0
0,0,0
11:16:06,2.5,20.6
0,0,0
0,0,0
11:16:08,2.5,20.6
0,0,0
0,0,0
11:16:10,2.5,20.6
0,0,0
0,0,0
11:16:12,2.5,20.6
0,0,0
0,0,0
11:16:14,2.5,20.6
0,0,0
0,0,0
11:16:16,2.5,20.6
0,0,0
0,0,0
11:16:18,2.5,20.6
0,0,0
0,0,0
11:16:20,2.5,20.6
0,0,0
0,0,0
11:16:22,2.5,20.6
0,0,0
0,0,0
11:16:24,2.5,20.6
0,0,0
0,0,0
11:16:26,0,20.6
0,0,0
0,0,0
11:16:28,0,20.7
0,0,0
0,0,0
11:16:30,0,20.7
0,0,0
0,0,0
11:16:32,0.9,20.7
0,0,0
0,0,0
11:16:34,0.883,20.7
0,0,0
0,0,0
11:16:36,0.884,20.7
0,0,0
0,0,0
11:16:38,0.886,20.7
0,0,0
0,0,0
11:16:40,0.888,20.7
0,0,0
0,0,0
11:16:42,0.89,20.7
0,0,0
0,0,0
11:16:44,0.89,20.7
0,0,0
0,0,0
11:16:46,0.89,20.7
0,0,0
0,0,0
11:16:48,0.891,20.6
0,0,0
0,0,0
11:16:50,0.892,20.6
0,0,0
0,0,0
11:16:52,0.892,20.6
0,0,0
0,0,0
11:16:54,0.893,20.6
0,0,0
0,0,0
11:16:56,0.894,20.6
0,0,0
0,0,0
11:16:58,0.894,20.6
0,0,0
0,0,0
11:17:00,0.894,20.6
0,0,0
0,0,0
11:17:02,0.895,20.6
0,0,0
0,0,0
11:17:04,0.895,20.6
0,0,0
0,0,0
11:17:06,0.895,20.6
0,0,0
0,0,0
11:17:08,0.895,20.6
0,0,0
0,0,0
11:17:10,0.895,20.6
0,0,0
0,0,0
11:17:12,0.895,20.6
0,0,0
0,0,0
11:17:14,0.896,20.6
0,0,0
0,0,0
11:17:16,0.896,20.6
0,0,0
0,0,0
11:17:18,0.896,20.6
0,0,0
0,0,0
11:17:20,0.896,20.6
0,0,0
0,0,0
11:17:22,0.896,20.6
0,0,0
0,0,0
11:17:24,0.895,20.6
0,0,0
0,0,0
11:17:26,0.895,20.6
0,0,0
0,0,0
11:17:28,0.895,20.6
0,0,0
0,0,0
11:17:30,0.895,20.6
0,0,0
0,0,0
11:17:32,0.895,20.6
0,0,0
0,0,0
11:17:34,0.896,20.6
0,0,0
0,0,0
11:17:36,0.896,20.6
0,0,0
0,0,0
11:17:38,0.896,20.6
0,0,0
0,0,0
11:17:40,0.896,20.6
0,0,0
0,0,0
11:17:42,0.896,20.6
0,0,0
0,0,0
11:17:44,0.896,20.6
0,0,0
0,0,0
11:17:46,0.896,20.6
0,0,0
0,0,0
11:17:48,0.896,20.6
0,0,0
0,0,0
11:17:50,0.896,20.6
0,0,0
0,0,0
11:17:52,0.896,20.6
0,0,0
0,0,0
11:17:54,0.896,20.6
0,0,0
0,0,0
11:17:56,0.896,20.6
0,0,0
0,0,0
11:17:58,0.896,20.6
0,0,0
0,0,0
11:18:00,0.896,20.6
0,0,0
0,0,0
11:18:02,0.896,20.6
0,0,0
0,0,0
11:18:04,0.896,20.6
0,0,0
0,0,0
11:18:06,0.896,20.6
0,0,0
0,0,0
11:18:08,0.896,20.6
0,0,0
0,0,0
11:18:10,0.896,20.6
0,0,0
0,0,0
11:18:12,0.896,20.6
0,0,0
0,0,0
11:18:14,0.896,20.6
0,0,0
0,0,0
11:18:16,0.896,20.6
0,0,0
0,0,0
11:18:18,0.896,20.6
0,0,0
0,0,0
11:18:20,0.896,20.6
0,0,0
0,0,0
11:18:22,0.896,20.6
0,0,0
0,0,0
11:18:24,0.896,20.6
0,0,0
0,0,0
11:18:26,0.896,20.6
0,0,0
0,0,0
11:18:28,0.897,20.6
0,0,0
0,0,0
11:18:30,0.897,20.6
0,0,0
0,0,0
11:18:32,0.897,20.6
0,0,0
0,0,0
11:18:34,0.897,20.6
0,0,0
0,0,0
11:18:36,0.897,20.6
0,0,0
0,0,0
11:18:38,0.897,20.6
0,0,0
0,0,0
11:18:40,0.897,20.6
0,0,0
0,0,0
11:18:42,0.897,20.6
0,0,0
0,0,0
11:18:44,0.897,20.6
0,0,0
0,0,0
11:18:46,0.897,20.6
0,0,0
0,0,0
11:18:48,0.897,20.6
0,0,0
0,0,0
11:18:50,0.897,20.6
0,0,0
0,0,0
11:18:52,0.897,20.6
0,0,0
0,0,0
11:18:54,0.897,20.6
0,0,0
0,0,0
11:18:56,0.897,20.6
0,0,0
0,0,0
11:18:58,0.897,20.6
0,0,0
0,0,0
11:19:00,0.897,20.6
0,0,0
0,0,0
