Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
10:57:50,900.1,931.06,23.25,945.8,968.81,23.75
10:57:51,902.8,943.12,22.75,946.7,974.47,23.5
10:57:52,902.2,937.84,23,946.4,969.42,23.75
10:57:53,903,929.49,23.5,947.5,975.3,23.5
10:57:54,903.6,934.68,23.25,947.9,970.96,23.75
10:57:54,903,929.49,23.5,946.2,973.96,23.5
10:57:55,904.5,935.61,23.25,946.7,974.47,23.5
10:57:56,905,936.13,23.25,947.7,975.5,23.5
10:57:57,905.9,937.06,23.25,947.7,980.29,23.25
10:57:58,904.7,940.44,23,947.4,975.19,23.5
10:57:59,905.3,945.73,22.75,947.8,985.24,23
10:58:00,908.2,934.84,23.5,948.4,976.22,23.5
10:58:01,906.2,937.37,23.25,947.9,980.5,23.25
10:58:02,907.8,943.66,23,948.1,971.17,23.75
10:58:03,906.7,937.88,23.25,947.8,975.6,23.5
10:58:04,909,944.91,23,947.6,970.65,23.75
10:58:05,909.2,940.47,23.25,948.7,971.78,23.75
10:58:06,909,940.26,23.25,948.8,971.88,23.75
10:58:07,909.3,945.22,23,949.2,972.29,23.75
10:58:08,911,946.99,23,948.7,976.53,23.5
10:58:09,911.2,937.93,23.5,948.9,981.54,23.25
10:58:10,910.7,937.42,23.5,948.2,980.81,23.25
10:58:11,913.4,940.2,23.5,948.7,976.53,23.5
10:58:12,911.9,938.65,23.5,948.4,981.02,23.25
10:58:13,914.1,945.54,23.25,948.7,976.53,23.5
10:58:14,913.4,940.2,23.5,949.4,977.25,23.5
10:58:15,914.1,950.21,23,948.4,995.7,22.5
10:58:16,913.7,949.79,23,949.1,976.94,23.5
10:58:17,913.7,940.5,23.5,948.9,976.74,23.5
10:58:18,914.9,941.74,23.5,948.9,976.74,23.5
10:58:19,914.2,950.31,23,949.1,976.94,23.5
10:58:20,914.5,950.62,23,948.8,981.43,23.25
10:58:21,916.4,943.28,23.5,949.3,981.95,23.25
10:58:22,915.1,941.95,23.5,949.9,977.77,23.5
10:58:23,915.3,946.78,23.25,949.1,972.19,23.75
10:58:24,915.3,942.15,23.5,948.9,981.54,23.25
10:58:25,917.3,944.21,23.5,949.2,977.05,23.5
10:58:26,917.2,953.43,23,949,981.64,23.25
10:58:27,916.7,943.59,23.5,949.4,982.05,23.25
10:58:28,917.3,944.21,23.5,949.4,977.25,23.5
10:58:29,916.1,947.61,23.25,950.2,978.08,23.5
10:58:30,916.7,943.59,23.5,947.9,975.71,23.5
10:58:31,919.2,946.17,23.5,949.5,982.16,23.25
10:58:32,917.2,948.75,23.25,949.8,977.66,23.5
10:58:33,918.1,949.68,23.25,950.3,973.42,23.75
10:58:34,919.5,951.12,23.25,949.7,972.8,23.75
10:58:35,919.5,960.56,22.75,950.1,977.97,23.5
10:58:36,919.5,955.82,23,950.4,973.52,23.75
10:58:37,920.2,956.55,23,949.9,982.57,23.25
10:58:38,920.9,947.92,23.5,950.8,973.93,23.75
10:58:39,918.9,945.86,23.5,950.9,974.03,23.75
10:58:40,919.6,951.23,23.25,951,978.9,23.5
10:58:41,919.7,951.33,23.25,950.6,983.29,23.25
10:58:42,921.7,953.4,23.25,950.8,988.36,23
10:58:42,921,948.02,23.5,951.3,984.02,23.25
10:58:43,922.4,949.46,23.5,950.7,988.25,23
10:58:45,920.4,947.4,23.5,950.6,983.29,23.25
10:58:45,921.2,957.59,23,951.3,974.44,23.75
10:58:46,921.7,948.74,23.5,951.3,979.21,23.5
10:58:47,921.7,948.74,23.5,951.1,979,23.5
10:58:48,921.8,953.5,23.25,951.8,984.54,23.25
10:58:49,921.2,952.88,23.25,951.2,974.34,23.75
10:58:50,921.2,952.88,23.25,951,978.9,23.5
10:58:51,923.3,950.39,23.5,952.2,984.95,23.25
10:58:52,921.9,958.32,23,951.7,989.29,23
10:58:53,921.9,953.61,23.25,951.5,979.41,23.5
10:58:54,922,949.05,23.5,951.2,974.34,23.75
10:58:55,924.6,961.12,23,950.4,978.28,23.5
10:58:56,924.5,946.99,23.75,951.3,979.21,23.5
10:58:57,925.2,952.34,23.5,951.1,988.67,23
